,h_distance,Elevation
0,0.0,1690.7945556640625
1,0.9902260549927385,1690.7803955078125
2,1.980452110479662,1690.8515625
3,2.9706781654724006,1690.8441162109375
4,3.9609042209260084,1690.7703857421875
5,4.951130275952062,1690.83154296875
6,5.941356331405671,1690.9400634765625
7,6.931582386398409,1690.7982177734375
8,7.921808441885332,1690.81591796875
9,8.912034496878071,1690.91943359375
10,9.902260552364995,1691.0162353515625
11,10.892486607357734,1690.305419921875
12,11.882712662811342,1689.837646484375
13,12.872938717837394,1689.65380859375
14,13.863164773291002,1689.62939453125
15,14.853390828283741,1689.6737060546875
16,15.843616883770665,1689.7757568359375
17,16.833842938763404,1689.889892578125
18,17.82406899421701,1689.9736328125
19,18.814295049243068,1689.9361572265625
20,19.804521104696676,1689.9583740234375
21,20.79474715968941,1689.9278564453125
22,21.784973215176336,1689.8779296875
23,22.775199270169075,1689.8572998046875
24,23.765425325656,1689.8031005859375
25,24.755651380648736,1689.541015625
26,25.745877436102344,1689.526611328125
27,26.736103491128397,1689.525634765625
28,27.726329546582004,1689.525634765625
29,28.716555601574747,1689.5767822265625
30,29.70678165706167,1689.650390625
31,30.697007712054408,1689.6416015625
32,31.687233767508015,1689.7293701171875
33,32.67745982253407,1689.7655029296875
34,33.66768587798767,1689.6903076171875
35,34.65791193298042,1689.731689453125
36,35.64813798846734,1689.576171875
37,36.63836404346008,1689.440185546875
38,37.628590098947,1689.390869140625
39,38.61881615393974,1689.2607421875
40,39.60904220939335,1689.173095703125
41,40.5992682644194,1688.9954833984375
42,41.58949431987301,1688.994873046875
43,42.579720374865744,1688.753662109375
44,43.56994643035267,1688.6845703125
45,44.56017248534541,1688.6107177734375
46,45.550398540799016,1688.6961669921875
47,46.54062459582507,1688.6619873046875
48,47.53085065127868,1688.694091796875
49,48.521076706271415,1688.7098388671875
50,49.511302761758344,1688.8013916015625
51,50.50152881675108,1688.987060546875
52,51.491754872238005,1689.073486328125
53,52.481980927230744,1688.97314453125
54,53.47220698268435,1688.8404541015625
55,54.462433037710404,1688.75341796875
56,55.45265909316401,1688.8514404296875
57,56.442885148156755,1689.1915283203125
58,57.433111203643676,1689.2012939453125
59,58.423337258636415,1689.1551513671875
60,59.41356331409003,1689.0567626953125
61,60.403789369116076,1688.9588623046875
62,61.39401542456968,1688.8472900390625
63,62.38424147956242,1688.9017333984375
64,63.37446753504934,1688.8211669921875
65,64.3646935900421,1688.7930908203125
66,65.35491964552901,1688.790771484375
67,66.34514570052174,1688.861572265625
68,67.33537175597534,1688.8065185546875
69,68.32559781100142,1688.86474609375
70,69.31582386645502,1688.8653564453125
71,70.30604992144775,1688.949951171875
72,71.29627597693468,1689.01416015625
73,72.28650203192741,1689.1212158203125
74,73.27672808738102,1689.1517333984375
75,74.26695414240709,1689.138916015625
76,75.25718019786069,1689.1318359375
77,76.24740625285342,
78,77.23763230834034,
79,78.22785836333308,
80,79.21808441882001,
81,80.20831047381274,
82,81.19853652926636,
83,82.18876258429242,
84,83.17898863974602,
85,84.16921469473876,
86,85.15944075022568,
87,86.14966680521842,
88,87.13989286067203,
89,88.13011891569809,
90,89.1203449711517,
91,90.11057102614443,
92,91.10079708163136,
93,92.0910231366241,
94,93.08124919211102,
95,94.07147524710375,
96,95.06170130255737,
97,96.05192735758341,
98,97.04215341303703,
99,98.03237946802976,
100,99.02260552351669,
101,100.01283157850942,
