[2023-04-02 at 23:41:11] | skeletonization is done.
[2023-04-02 at 23:41:11] | Computing centerline...
[2023-04-02 at 23:41:12] | centerline computation is done.
[2023-04-02 at 23:41:12] | Resolving links and nodes...
[2023-04-02 at 23:41:14] | links and nodes have been resolved.
[2023-04-02 at 23:41:14] | Computing distance transform...
[2023-04-02 at 23:41:14] | distance transform done.
[2023-04-02 at 23:41:14] | Computing link widths and lengths...
[2023-04-02 at 23:41:14] | link widths and lengths computed.
[2023-04-02 at 23:41:14] | Generating mesh...
[2023-04-02 at 23:41:14] | mesh generation is done.
[2023-04-02 at 23:47:16] | ---------- New Run ----------
[2023-04-02 at 23:47:16] | Skeletonizing mask...
[2023-04-02 at 23:47:16] | skeletonization is done.
[2023-04-02 at 23:47:16] | Computing centerline...
[2023-04-02 at 23:47:17] | centerline computation is done.
[2023-04-02 at 23:47:17] | Resolving links and nodes...
[2023-04-02 at 23:47:19] | links and nodes have been resolved.
[2023-04-02 at 23:47:19] | Computing distance transform...
[2023-04-02 at 23:47:19] | distance transform done.
[2023-04-02 at 23:47:19] | Computing link widths and lengths...
[2023-04-02 at 23:47:19] | link widths and lengths computed.
[2023-04-02 at 23:47:19] | Generating mesh...
[2023-04-02 at 23:47:19] | mesh generation is done.
[2023-04-02 at 23:48:41] | ---------- New Run ----------
[2023-04-02 at 23:48:41] | Skeletonizing mask...
[2023-04-02 at 23:48:42] | skeletonization is done.
[2023-04-02 at 23:48:42] | Computing centerline...
[2023-04-02 at 23:48:42] | centerline computation is done.
[2023-04-02 at 23:48:42] | Resolving links and nodes...
[2023-04-02 at 23:48:44] | links and nodes have been resolved.
[2023-04-02 at 23:48:44] | Computing distance transform...
[2023-04-02 at 23:48:45] | distance transform done.
[2023-04-02 at 23:48:45] | Computing link widths and lengths...
[2023-04-02 at 23:48:45] | link widths and lengths computed.
[2023-04-02 at 23:48:45] | Generating mesh...
[2023-04-02 at 23:48:45] | mesh generation is done.
[2023-04-02 at 23:49:07] | ---------- New Run ----------
[2023-04-02 at 23:49:07] | Skeletonizing mask...
[2023-04-02 at 23:49:07] | skeletonization is done.
[2023-04-02 at 23:49:07] | Computing centerline...
[2023-04-02 at 23:49:08] | centerline computation is done.
[2023-04-02 at 23:49:08] | Resolving links and nodes...
[2023-04-02 at 23:49:10] | links and nodes have been resolved.
[2023-04-02 at 23:49:10] | Computing distance transform...
[2023-04-02 at 23:49:10] | distance transform done.
[2023-04-02 at 23:49:10] | Computing link widths and lengths...
[2023-04-02 at 23:49:10] | link widths and lengths computed.
[2023-04-02 at 23:49:10] | Generating mesh...
[2023-04-02 at 23:49:10] | mesh generation is done.
[2023-04-02 at 23:50:34] | ---------- New Run ----------
[2023-04-02 at 23:50:34] | Skeletonizing mask...
[2023-04-02 at 23:50:34] | skeletonization is done.
[2023-04-02 at 23:50:34] | Computing centerline...
[2023-04-02 at 23:50:35] | centerline computation is done.
[2023-04-02 at 23:50:35] | Resolving links and nodes...
[2023-04-02 at 23:50:37] | links and nodes have been resolved.
[2023-04-02 at 23:50:37] | Computing distance transform...
[2023-04-02 at 23:50:37] | distance transform done.
[2023-04-02 at 23:50:37] | Computing link widths and lengths...
[2023-04-02 at 23:50:37] | link widths and lengths computed.
[2023-04-02 at 23:50:37] | Generating mesh...
[2023-04-02 at 23:50:37] | mesh generation is done.
[2023-04-02 at 23:52:26] | ---------- New Run ----------
[2023-04-02 at 23:52:26] | Skeletonizing mask...
[2023-04-02 at 23:52:26] | skeletonization is done.
[2023-04-02 at 23:52:26] | Computing centerline...
[2023-04-02 at 23:52:26] | centerline computation is done.
[2023-04-02 at 23:52:26] | Resolving links and nodes...
[2023-04-02 at 23:52:28] | links and nodes have been resolved.
[2023-04-02 at 23:52:28] | Computing distance transform...
[2023-04-02 at 23:52:28] | distance transform done.
[2023-04-02 at 23:52:28] | Computing link widths and lengths...
[2023-04-02 at 23:52:28] | link widths and lengths computed.
[2023-04-02 at 23:52:29] | Generating mesh...
[2023-04-02 at 23:52:29] | mesh generation is done.
[2023-04-02 at 23:54:36] | ---------- New Run ----------
[2023-04-02 at 23:54:36] | Skeletonizing mask...
[2023-04-02 at 23:54:36] | skeletonization is done.
[2023-04-02 at 23:54:36] | Computing centerline...
[2023-04-02 at 23:54:37] | centerline computation is done.
[2023-04-02 at 23:54:37] | Resolving links and nodes...
[2023-04-02 at 23:54:39] | links and nodes have been resolved.
[2023-04-02 at 23:54:39] | Computing distance transform...
[2023-04-02 at 23:54:39] | distance transform done.
[2023-04-02 at 23:54:39] | Computing link widths and lengths...
[2023-04-02 at 23:54:39] | link widths and lengths computed.
[2023-04-02 at 23:54:39] | Generating mesh...
[2023-04-02 at 23:54:39] | mesh generation is done.
[2023-04-02 at 23:57:04] | ---------- New Run ----------
[2023-04-02 at 23:57:04] | Skeletonizing mask...
[2023-04-02 at 23:57:04] | skeletonization is done.
[2023-04-02 at 23:57:04] | Computing centerline...
[2023-04-02 at 23:57:05] | centerline computation is done.
[2023-04-02 at 23:57:05] | Resolving links and nodes...
[2023-04-02 at 23:57:07] | links and nodes have been resolved.
[2023-04-02 at 23:57:07] | Computing distance transform...
[2023-04-02 at 23:57:07] | distance transform done.
[2023-04-02 at 23:57:07] | Computing link widths and lengths...
[2023-04-02 at 23:57:07] | link widths and lengths computed.
[2023-04-02 at 23:57:07] | Generating mesh...
[2023-04-02 at 23:57:08] | mesh generation is done.
[2023-04-03 at 00:01:18] | ---------- New Run ----------
[2023-04-03 at 00:01:18] | Skeletonizing mask...
[2023-04-03 at 00:01:18] | skeletonization is done.
[2023-04-03 at 00:01:18] | Computing centerline...
[2023-04-03 at 00:01:19] | centerline computation is done.
[2023-04-03 at 00:01:19] | Resolving links and nodes...
[2023-04-03 at 00:01:21] | links and nodes have been resolved.
[2023-04-03 at 00:01:21] | Computing distance transform...
[2023-04-03 at 00:01:21] | distance transform done.
[2023-04-03 at 00:01:21] | Computing link widths and lengths...
[2023-04-03 at 00:01:21] | link widths and lengths computed.
[2023-04-03 at 00:01:21] | Generating mesh...
[2023-04-03 at 00:01:21] | mesh generation is done.
[2023-04-03 at 00:03:02] | ---------- New Run ----------
[2023-04-03 at 00:03:02] | Skeletonizing mask...
